carrier,substance,region,technology,time,scenario,value
wtr,cec,DE,nof,2020,low_env_pol,0.0
wtr,cec,DE,nof,2035,high_env_pol,0.0
wtr,cec,DE,nof,2035,low_env_pol,0.0
wtr,cec,DE,nof,2045,high_env_pol,0.0
wtr,cec,DE,nof,2045,low_env_pol,0.0
wtr,cec,DE,aop,2020,high_env_pol,9.96732
wtr,cec,DE,aop,2020,low_env_pol,9.96732
wtr,cec,DE,aop,2035,high_env_pol,98.8356
wtr,cec,DE,aop,2035,low_env_pol,9.883560000000001
wtr,cec,DE,aop,2045,high_env_pol,226.5172
wtr,cec,DE,aop,2045,low_env_pol,9.707880000000001
wtr,cec,DE,o3,2020,high_env_pol,3.3224400000000003
wtr,cec,DE,o3,2020,low_env_pol,3.3224400000000003
wtr,cec,DE,o3,2035,high_env_pol,59.30136
wtr,cec,DE,o3,2035,low_env_pol,3.2945200000000003
wtr,cec,DE,o3,2045,high_env_pol,64.7192
wtr,cec,DE,o3,2045,low_env_pol,3.2359600000000004
wtr,cec,DE,gac,2020,high_env_pol,19.93464
wtr,cec,DE,gac,2020,low_env_pol,19.93464
wtr,cec,DE,gac,2035,high_env_pol,39.534240000000004
wtr,cec,DE,gac,2035,low_env_pol,19.767120000000002
wtr,cec,DE,gac,2045,high_env_pol,32.3596
wtr,cec,DE,gac,2045,low_env_pol,19.415760000000002
oxi_con,car,DE,nof,2020,high_env_pol,0.0
oxi_con,car,DE,nof,2020,low_env_pol,0.0
oxi_con,car,DE,nof,2035,high_env_pol,0.0
oxi_con,car,DE,nof,2035,low_env_pol,0.0
oxi_con,car,DE,nof,2045,high_env_pol,0.0
oxi_con,car,DE,nof,2045,low_env_pol,0.0
oxi_con,car,DE,aop,2020,high_env_pol,0.0
oxi_con,car,DE,aop,2020,low_env_pol,0.0
oxi_con,car,DE,aop,2035,high_env_pol,0.0
oxi_con,car,DE,aop,2035,low_env_pol,0.0
oxi_con,car,DE,aop,2045,high_env_pol,0.0
oxi_con,car,DE,aop,2045,low_env_pol,0.0
oxi_con,car,DE,o3,2020,high_env_pol,0.0
oxi_con,car,DE,o3,2020,low_env_pol,0.0
oxi_con,car,DE,o3,2035,high_env_pol,0.0
oxi_con,car,DE,o3,2035,low_env_pol,0.0
oxi_con,car,DE,o3,2045,high_env_pol,0.0
oxi_con,car,DE,o3,2045,low_env_pol,0.0
oxi_con,car,DE,gac,2020,high_env_pol,0.0
oxi_con,car,DE,gac,2020,low_env_pol,0.0
oxi_con,car,DE,gac,2035,high_env_pol,0.0
oxi_con,car,DE,gac,2035,low_env_pol,0.0
oxi_con,car,DE,gac,2045,high_env_pol,0.0
oxi_con,car,DE,gac,2045,low_env_pol,0.0
oxi_con,cec,DE,nof,2020,high_env_pol,0.0
oxi_con,cec,DE,nof,2020,low_env_pol,0.0
oxi_con,cec,DE,nof,2035,high_env_pol,0.0
oxi_con,cec,DE,nof,2035,low_env_pol,0.0
oxi_con,cec,DE,nof,2045,high_env_pol,0.0
oxi_con,cec,DE,nof,2045,low_env_pol,0.0
oxi_con,cec,DE,aop,2020,high_env_pol,0.0
oxi_con,cec,DE,aop,2020,low_env_pol,0.0
oxi_con,cec,DE,aop,2035,high_env_pol,0.0
oxi_con,cec,DE,aop,2035,low_env_pol,0.0
oxi_con,cec,DE,aop,2045,high_env_pol,0.0
oxi_con,cec,DE,aop,2045,low_env_pol,0.0
oxi_con,cec,DE,o3,2020,high_env_pol,0.0
oxi_con,cec,DE,o3,2020,low_env_pol,0.0
oxi_con,cec,DE,o3,2035,high_env_pol,0.0
oxi_con,cec,DE,o3,2035,low_env_pol,0.0
oxi_con,cec,DE,o3,2045,high_env_pol,0.0
oxi_con,cec,DE,o3,2045,low_env_pol,0.0
oxi_con,cec,DE,gac,2020,high_env_pol,0.0
oxi_con,cec,DE,gac,2020,low_env_pol,0.0
oxi_con,cec,DE,gac,2035,high_env_pol,0.0
oxi_con,cec,DE,gac,2035,low_env_pol,0.0
oxi_con,cec,DE,gac,2045,high_env_pol,0.0
oxi_con,cec,DE,gac,2045,low_env_pol,0.0
